source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,failure_reason,candidate_1_target_division_code,candidate_1_target_district_code,candidate_1_target_upazila_code,candidate_1_target_division_name_en,candidate_1_target_district_name_en,candidate_1_target_upazila_name_en,candidate_1_target_division_name_bn,candidate_1_target_district_name_bn,candidate_1_target_upazila_name_bn,candidate_1_reason,candidate_2_target_division_code,candidate_2_target_district_code,candidate_2_target_upazila_code,candidate_2_target_division_name_en,candidate_2_target_district_name_en,candidate_2_target_upazila_name_en,candidate_2_target_division_name_bn,candidate_2_target_district_name_bn,candidate_2_target_upazila_name_bn,candidate_2_reason,candidate_3_target_division_code,candidate_3_target_district_code,candidate_3_target_upazila_code,candidate_3_target_division_name_en,candidate_3_target_district_name_en,candidate_3_target_upazila_name_en,candidate_3_target_division_name_bn,candidate_3_target_district_name_bn,candidate_3_target_upazila_name_bn,candidate_3_reason,manual_target_division_code,manual_target_district_code,manual_target_upazila_code,selected_candidate,review_status,reviewed_by,notes
2,18,157,Rajshahi,Chapainawabganj,Nachol,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,nuhil_district_name_no_match,50,5070,50700056,Rajshahi,Chapainababganj,Nachole,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Upazila name similarity only (weak — verify district),,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,158,Rajshahi,Chapainawabganj,Bholahat,রাজশাহী,চাঁপাইনবাবগঞ্জ,ভোলাহাট,nuhil_district_name_no_match,50,5070,50700018,Rajshahi,Chapainababganj,Bholahat,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,159,Rajshahi,Chapainawabganj,Shibganj,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ,nuhil_district_name_no_match,50,5010,50100094,Rajshahi,Bogura,Shibganj,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,50,5070,50700088,Rajshahi,Chapainababganj,Shibganj,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15.
4,30,230,Barisal,Jhalakathi,Jhalakathi Sadar,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,231,Barisal,Jhalakathi,Kathalia,বরিশাল,ঝালকাঠি,কাঠালিয়া,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,30,232,Barisal,Jhalakathi,Nalchity,বরিশাল,ঝালকাঠি,নলছিটি,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,233,Barisal,Jhalakathi,Rajapur,বরিশাল,ঝালকাঠি,রাজাপুর,nuhil_district_name_no_match,10,1042,10420084,Barishal,Jhalokati,Rajapur,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,33,249,Barisal,Barisal,Barisal Sadar,বরিশাল,বরিশাল,বরিশাল সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,33,250,Barisal,Barisal,Bakerganj,বরিশাল,বরিশাল,বাকেরগঞ্জ,nuhil_district_name_no_match,10,1006,10060007,Barishal,Barishal,Bakerganj,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
4,33,251,Barisal,Barisal,Babuganj,বরিশাল,বরিশাল,বাবুগঞ্জ,nuhil_district_name_no_match,10,1006,10060003,Barishal,Barishal,Babuganj,বরিশাল বিভাগ,,,Within mapped HDX division (Barisal); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
