district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
20,173,Bagherpara,বাঘারপাড়া,,,nuhil/bangladesh-geocode,false
20,174,Chougachha,চৌগাছা,,,nuhil/bangladesh-geocode,false
20,175,Jhikargacha,ঝিকরগাছা,,,nuhil/bangladesh-geocode,false
20,176,Keshabpur,কেশবপুর,,,nuhil/bangladesh-geocode,false
20,177,Jessore Sadar,যশোর সদর,,,nuhil/bangladesh-geocode,false
20,178,Sharsha,শার্শা,,,nuhil/bangladesh-geocode,false
21,179,Assasuni,আশাশুনি,,,nuhil/bangladesh-geocode,false
2,18,Chhagalnaiya,ছাগলনাইয়া,,,nuhil/bangladesh-geocode,false
21,180,Debhata,দেবহাটা,,,nuhil/bangladesh-geocode,false
21,181,Kalaroa,কলারোয়া,,,nuhil/bangladesh-geocode,false
21,182,Satkhira Sadar,সাতক্ষীরা সদর,,,nuhil/bangladesh-geocode,false
21,183,Shyamnagar,শ্যামনগর,,,nuhil/bangladesh-geocode,false
21,184,Tala,তালা,,,nuhil/bangladesh-geocode,false
21,185,Kaliganj,কালিগঞ্জ,,,nuhil/bangladesh-geocode,false
22,186,Mujibnagar,মুজিবনগর,,,nuhil/bangladesh-geocode,false
22,187,Meherpur Sadar,মেহেরপুর সদর,,,nuhil/bangladesh-geocode,false
22,188,Gangni,গাংনী,,,nuhil/bangladesh-geocode,false
23,189,Narail Sadar,নড়াইল সদর,,,nuhil/bangladesh-geocode,false
2,19,Feni Sadar,ফেনী সদর,,,nuhil/bangladesh-geocode,false
23,190,Lohagara,লোহাগড়া,,,nuhil/bangladesh-geocode,false
23,191,Kalia,কালিয়া,,,nuhil/bangladesh-geocode,false
24,192,Chuadanga Sadar,চুয়াডাঙ্গা সদর,,,nuhil/bangladesh-geocode,false
24,193,Alamdanga,আলমডাঙ্গা,,,nuhil/bangladesh-geocode,false
24,194,Damurhuda,দামুড়হুদা,,,nuhil/bangladesh-geocode,false
24,195,Jibannagar,জীবননগর,,,nuhil/bangladesh-geocode,false
25,196,Kushtia Sadar,কুষ্টিয়া সদর,,,nuhil/bangladesh-geocode,false
25,197,Kumarkhali,কুমারখালী,,,nuhil/bangladesh-geocode,false
25,198,Khoksa,খোকসা,,,nuhil/bangladesh-geocode,false
25,199,Mirpur,মিরপুর,,,nuhil/bangladesh-geocode,false
1,2,Barura,বরুড়া,,,nuhil/bangladesh-geocode,false
2,20,Sonagazi,সোনাগাজী,,,nuhil/bangladesh-geocode,false
25,200,Daulatpur,দৌলতপুর,,,nuhil/bangladesh-geocode,false
25,201,Bheramara,ভেড়ামারা,,,nuhil/bangladesh-geocode,false
26,202,Shalikha,শালিখা,,,nuhil/bangladesh-geocode,false
26,203,Sreepur,শ্রীপুর,,,nuhil/bangladesh-geocode,false
26,204,Magura Sadar,মাগুরা সদর,,,nuhil/bangladesh-geocode,false
26,205,Mohammadpur,মহম্মদপুর,,,nuhil/bangladesh-geocode,false
27,206,Paikgasa,পাইকগাছা,,,nuhil/bangladesh-geocode,false
27,207,Fultola,ফুলতলা,,,nuhil/bangladesh-geocode,false
27,208,Digholia,দিঘলিয়া,,,nuhil/bangladesh-geocode,false
27,209,Rupsha,রূপসা,,,nuhil/bangladesh-geocode,false
2,21,Fulgazi,ফুলগাজী,,,nuhil/bangladesh-geocode,false
27,210,Terokhada,তেরখাদা,,,nuhil/bangladesh-geocode,false
27,211,Dumuria,ডুমুরিয়া,,,nuhil/bangladesh-geocode,false
27,212,Botiaghata,বটিয়াঘাটা,,,nuhil/bangladesh-geocode,false
27,213,Dakop,দাকোপ,,,nuhil/bangladesh-geocode,false
27,214,Koyra,কয়রা,,,nuhil/bangladesh-geocode,false
28,215,Fakirhat,ফকিরহাট,,,nuhil/bangladesh-geocode,false
28,216,Bagerhat Sadar,বাগেরহাট সদর,,,nuhil/bangladesh-geocode,false
28,217,Mollahat,মোল্লাহাট,,,nuhil/bangladesh-geocode,false
28,218,Sarankhola,শরণখোলা,,,nuhil/bangladesh-geocode,false
28,219,Rampal,রামপাল,,,nuhil/bangladesh-geocode,false
2,22,Parshuram,পরশুরাম,,,nuhil/bangladesh-geocode,false
28,220,Morrelganj,মোড়েলগঞ্জ,,,nuhil/bangladesh-geocode,false
28,221,Kachua,কচুয়া,,,nuhil/bangladesh-geocode,false
28,222,Mongla,মোংলা,,,nuhil/bangladesh-geocode,false
28,223,Chitalmari,চিতলমারী,,,nuhil/bangladesh-geocode,false
29,224,Jhenaidah Sadar,ঝিনাইদহ সদর,,,nuhil/bangladesh-geocode,false
29,225,Shailkupa,শৈলকুপা,,,nuhil/bangladesh-geocode,false
29,226,Harinakundu,হরিণাকুন্ডু,,,nuhil/bangladesh-geocode,false
29,227,Kaliganj,কালীগঞ্জ,,,nuhil/bangladesh-geocode,false
29,228,Kotchandpur,কোটচাঁদপুর,,,nuhil/bangladesh-geocode,false
29,229,Moheshpur,মহেশপুর,,,nuhil/bangladesh-geocode,false
2,23,Daganbhuiyan,দাগনভূঞা,,,nuhil/bangladesh-geocode,false
30,230,Jhalakathi Sadar,ঝালকাঠি সদর,,,nuhil/bangladesh-geocode,false
30,231,Kathalia,কাঠালিয়া,,,nuhil/bangladesh-geocode,false
30,232,Nalchity,নলছিটি,,,nuhil/bangladesh-geocode,false
30,233,Rajapur,রাজাপুর,,,nuhil/bangladesh-geocode,false
31,234,Bauphal,বাউফল,,,nuhil/bangladesh-geocode,false
31,235,Patuakhali Sadar,পটুয়াখালী সদর,,,nuhil/bangladesh-geocode,false
31,236,Dumki,দুমকি,,,nuhil/bangladesh-geocode,false
31,237,Dashmina,দশমিনা,,,nuhil/bangladesh-geocode,false
31,238,Kalapara,কলাপাড়া,,,nuhil/bangladesh-geocode,false
31,239,Mirzaganj,মির্জাগঞ্জ,,,nuhil/bangladesh-geocode,false
3,24,Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর,,,nuhil/bangladesh-geocode,false
31,240,Galachipa,গলাচিপা,,,nuhil/bangladesh-geocode,false
31,241,Rangabali,রাঙ্গাবালী,,,nuhil/bangladesh-geocode,false
32,242,Pirojpur Sadar,পিরোজপুর সদর,,,nuhil/bangladesh-geocode,false
32,243,Nazirpur,নাজিরপুর,,,nuhil/bangladesh-geocode,false
32,244,Kawkhali,কাউখালী,,,nuhil/bangladesh-geocode,false
32,245,Zianagar,জিয়ানগর,,,nuhil/bangladesh-geocode,false
32,246,Bhandaria,ভান্ডারিয়া,,,nuhil/bangladesh-geocode,false
32,247,Mathbaria,মঠবাড়ীয়া,,,nuhil/bangladesh-geocode,false
32,248,Nesarabad,নেছারাবাদ,,,nuhil/bangladesh-geocode,false
33,249,Barisal Sadar,বরিশাল সদর,,,nuhil/bangladesh-geocode,false
3,25,Kasba,কসবা,,,nuhil/bangladesh-geocode,false
33,250,Bakerganj,বাকেরগঞ্জ,,,nuhil/bangladesh-geocode,false
33,251,Babuganj,বাবুগঞ্জ,,,nuhil/bangladesh-geocode,false
33,252,Wazirpur,উজিরপুর,,,nuhil/bangladesh-geocode,false
33,253,Banaripara,বানারীপাড়া,,,nuhil/bangladesh-geocode,false
33,254,Gournadi,গৌরনদী,,,nuhil/bangladesh-geocode,false
33,255,Agailjhara,আগৈলঝাড়া,,,nuhil/bangladesh-geocode,false
33,256,Mehendiganj,মেহেন্দিগঞ্জ,,,nuhil/bangladesh-geocode,false
33,257,Muladi,মুলাদী,,,nuhil/bangladesh-geocode,false
33,258,Hizla,হিজলা,,,nuhil/bangladesh-geocode,false
34,259,Bhola Sadar,ভোলা সদর,,,nuhil/bangladesh-geocode,false
3,26,Nasirnagar,নাসিরনগর,,,nuhil/bangladesh-geocode,false
34,260,Borhan Sddin,বোরহান উদ্দিন,,,nuhil/bangladesh-geocode,false
34,261,Charfesson,চরফ্যাশন,,,nuhil/bangladesh-geocode,false
34,262,Doulatkhan,দৌলতখান,,,nuhil/bangladesh-geocode,false
34,263,Monpura,মনপুরা,,,nuhil/bangladesh-geocode,false
34,264,Tazumuddin,তজুমদ্দিন,,,nuhil/bangladesh-geocode,false
34,265,Lalmohan,লালমোহন,,,nuhil/bangladesh-geocode,false
35,266,Amtali,আমতলী,,,nuhil/bangladesh-geocode,false
35,267,Barguna Sadar,বরগুনা সদর,,,nuhil/bangladesh-geocode,false
35,268,Betagi,বেতাগী,,,nuhil/bangladesh-geocode,false
35,269,Bamna,বামনা,,,nuhil/bangladesh-geocode,false
3,27,Sarail,সরাইল,,,nuhil/bangladesh-geocode,false
35,270,Pathorghata,পাথরঘাটা,,,nuhil/bangladesh-geocode,false
35,271,Taltali,তালতলি,,,nuhil/bangladesh-geocode,false
36,272,Balaganj,বালাগঞ্জ,,,nuhil/bangladesh-geocode,false
36,273,Beanibazar,বিয়ানীবাজার,,,nuhil/bangladesh-geocode,false
36,274,Bishwanath,বিশ্বনাথ,,,nuhil/bangladesh-geocode,false
36,275,Companiganj,কোম্পানীগঞ্জ,,,nuhil/bangladesh-geocode,false
36,276,Fenchuganj,ফেঞ্চুগঞ্জ,,,nuhil/bangladesh-geocode,false
36,277,Golapganj,গোলাপগঞ্জ,,,nuhil/bangladesh-geocode,false
36,278,Gowainghat,গোয়াইনঘাট,,,nuhil/bangladesh-geocode,false
36,279,Jaintiapur,জৈন্তাপুর,,,nuhil/bangladesh-geocode,false
3,28,Ashuganj,আশুগঞ্জ,,,nuhil/bangladesh-geocode,false
36,280,Kanaighat,কানাইঘাট,,,nuhil/bangladesh-geocode,false
36,281,Sylhet Sadar,সিলেট সদর,,,nuhil/bangladesh-geocode,false
36,282,Zakiganj,জকিগঞ্জ,,,nuhil/bangladesh-geocode,false
36,283,Dakshinsurma,দক্ষিণ সুরমা,,,nuhil/bangladesh-geocode,false
36,284,Osmaninagar,ওসমানী নগর,,,nuhil/bangladesh-geocode,false
37,285,Barlekha,বড়লেখা,,,nuhil/bangladesh-geocode,false
37,286,Kamolganj,কমলগঞ্জ,,,nuhil/bangladesh-geocode,false
37,287,Kulaura,কুলাউড়া,,,nuhil/bangladesh-geocode,false
37,288,Moulvibazar Sadar,মৌলভীবাজার সদর,,,nuhil/bangladesh-geocode,false
37,289,Rajnagar,রাজনগর,,,nuhil/bangladesh-geocode,false
3,29,Akhaura,আখাউড়া,,,nuhil/bangladesh-geocode,false
37,290,Sreemangal,শ্রীমঙ্গল,,,nuhil/bangladesh-geocode,false
37,291,Juri,জুড়ী,,,nuhil/bangladesh-geocode,false
38,292,Nabiganj,নবীগঞ্জ,,,nuhil/bangladesh-geocode,false
38,293,Bahubal,বাহুবল,,,nuhil/bangladesh-geocode,false
38,294,Ajmiriganj,আজমিরীগঞ্জ,,,nuhil/bangladesh-geocode,false
38,295,Baniachong,বানিয়াচং,,,nuhil/bangladesh-geocode,false
