adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Patiya,,,,BD20150061,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,253.6155445,v03,en,,,,,22.29314167,91.98742056
Rangunia,,,,BD20150070,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,354.2169478,v03,en,,,,,22.46617757,92.06834682
Raozan,,,,BD20150074,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,243.8438275,v03,en,,,,,22.51965128,91.91727933
Sandwip,,,,BD20150078,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,390.7794911,v03,en,,,,,22.5106171,91.45787931
Satkania,,,,BD20150082,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,276.3119234,v03,en,,,,,22.10592592,92.05950882
Sitakunda,,,,BD20150086,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,492.9236297,v03,en,,,,,22.54303233,91.65690147
Chakaria,,,,BD20220016,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,493.2713832,v03,en,,,,,21.74110917,92.0517345
Coxs Bazar Sadar,,,,BD20220024,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,120.6124722,v03,en,,,,,21.46611549,92.01564253
Eidgaon,,,,BD20220032,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,86.42992847,v03,en,,,,,21.55582075,92.05915783
Kutubdia,,,,BD20220045,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,71.69389474,v03,en,,,,,21.83800675,91.86254458
Maheshkhali,,,,BD20220049,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,400.3546118,v03,en,,,,,21.60718915,91.91955884
Pekua,,,,BD20220056,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,143.522476,v03,en,,,,,21.81593944,91.94474478
Ramu,,,,BD20220066,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,384.0980437,v03,en,,,,,21.43878767,92.12036409
Teknaf,,,,BD20220090,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,367.9519645,v03,en,,,,,20.96925113,92.23706771
Ukhia,,,,BD20220094,Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,258.7660902,v03,en,,,,,21.22806282,92.11533645
Adarsha Sadar,,,,BD20190067,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,111.5459995,v03,en,,,,,23.47977528,91.15674514
Barura,,,,BD20190009,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,246.5172749,v03,en,,,,,23.35688513,91.04002614
Brahmanpara,,,,BD20190015,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,128.3330173,v03,en,,,,,23.64701097,91.09595838
Burichang,,,,BD20190018,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,167.8039897,v03,en,,,,,23.53518256,91.11687246
Chandina,,,,BD20190027,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,200.0201009,v03,en,,,,,23.44627926,90.94481512
