adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon
Mymensingh,,,,BD4561,Mymensingh,,,,BD45,Bangladesh,,,,BD,21/05/23,,4332.795625,v03,en,,,,,24.69929007,90.4296179
Netrakona,,,,BD4572,Mymensingh,,,,BD45,Bangladesh,,,,BD,21/05/23,,2800.120508,v03,en,,,,,24.870764,90.84529938
Sherpur,,,,BD4589,Mymensingh,,,,BD45,Bangladesh,,,,BD,21/05/23,,1327.990661,v03,en,,,,,25.08294035,90.07545687
Bogura,,,,BD5010,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,2930.127781,v03,en,,,,,24.82433095,89.38040124
Joypurhat,,,,BD5038,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,965.8661598,v03,en,,,,,25.09298379,89.08381655
Naogaon,,,,BD5064,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,3438.802944,v03,en,,,,,24.90021071,88.7516789
Natore,,,,BD5069,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,1904.981114,v03,en,,,,,24.38056174,89.08741492
Chapainababganj,,,,BD5070,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,1689.37734,v03,en,,,,,24.7155962,88.26399218
Pabna,,,,BD5076,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,2391.826873,v03,en,,,,,24.05304736,89.38618128
Rajshahi,,,,BD5081,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,2422.608338,v03,en,,,,,24.46837737,88.6506542
Sirajganj,,,,BD5088,Rajshahi,,,,BD50,Bangladesh,,,,BD,21/05/23,,2511.871342,v03,en,,,,,24.39152372,89.60146461
Dinajpur,,,,BD5527,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,3460.115058,v03,en,,,,,25.6304274,88.78628242
Gaibandha,,,,BD5532,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,2150.498493,v03,en,,,,,25.29828454,89.50543518
Kurigram,,,,BD5549,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,2267.586913,v03,en,,,,,25.79047676,89.69509011
Lalmonirhat,,,,BD5552,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,1235.716715,v03,en,,,,,26.06289852,89.23651267
Nilphamari,,,,BD5573,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,1596.27322,v03,en,,,,,26.02555724,88.93006041
Panchagarh,,,,BD5577,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,1403.833739,v03,en,,,,,26.28531035,88.57854183
Rangpur,,,,BD5585,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,2363.103603,v03,en,,,,,25.65134796,89.23683216
Thakurgaon,,,,BD5594,Rangpur,,,,BD55,Bangladesh,,,,BD,21/05/23,,1805.624951,v03,en,,,,,25.99009611,88.3445448
Habiganj,,,,BD6036,Sylhet,,,,BD60,Bangladesh,,,,BD,21/05/23,,2610.697376,v03,en,,,,,24.36943192,91.43170685
Moulvibazar,,,,BD6058,Sylhet,,,,BD60,Bangladesh,,,,BD,21/05/23,,2673.50902,v03,en,,,,,24.48107681,91.91646745
Sunamganj,,,,BD6090,Sylhet,,,,BD60,Bangladesh,,,,BD,21/05/23,,3666.856262,v03,en,,,,,24.93984869,91.34559611
Sylhet,,,,BD6091,Sylhet,,,,BD60,Bangladesh,,,,BD,21/05/23,,3422.249116,v03,en,,,,,24.91968618,91.98768344
