division_code,district_code,name_en,name_bn,lat,lng,source,is_verified
50,5038,Joypurhat,,25.09298379,89.08381655,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5064,Naogaon,,24.90021071,88.7516789,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5069,Natore,,24.38056174,89.08741492,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5070,Chapainababganj,,24.7155962,88.26399218,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5076,Pabna,,24.05304736,89.38618128,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5081,Rajshahi,,24.46837737,88.6506542,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
50,5088,Sirajganj,,24.39152372,89.60146461,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5527,Dinajpur,,25.6304274,88.78628242,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5532,Gaibandha,,25.29828454,89.50543518,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5549,Kurigram,,25.79047676,89.69509011,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5552,Lalmonirhat,,26.06289852,89.23651267,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5573,Nilphamari,,26.02555724,88.93006041,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5577,Panchagarh,,26.28531035,88.57854183,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5585,Rangpur,,25.65134796,89.23683216,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
55,5594,Thakurgaon,,25.99009611,88.3445448,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
60,6036,Habiganj,,24.36943192,91.43170685,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
60,6058,Moulvibazar,,24.48107681,91.91646745,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
60,6090,Sunamganj,,24.93984869,91.34559611,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
60,6091,Sylhet,,24.91968618,91.98768344,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
