district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
2022,20220049,Maheshkhali,,21.60718915,91.91955884,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2022,20220056,Pekua,,21.81593944,91.94474478,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2022,20220066,Ramu,,21.43878767,92.12036409,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2022,20220090,Teknaf,,20.96925113,92.23706771,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2022,20220094,Ukhia,,21.22806282,92.11533645,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190067,Adarsha Sadar,,23.47977528,91.15674514,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190009,Barura,,23.35688513,91.04002614,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190015,Brahmanpara,,23.64701097,91.09595838,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190018,Burichang,,23.53518256,91.11687246,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190027,Chandina,,23.44627926,90.94481512,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190031,Chauddagram,,23.22183679,91.27969434,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190036,Daudkandi,,23.50293787,90.77310239,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190040,Debidwar,,23.5797482,90.99808648,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190054,Homna,,23.68000235,90.81149876,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190072,Laksam,,23.23144364,91.10487647,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190073,Lalmai,,23.29766555,91.15944077,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190074,Manoharganj,,23.13846962,91.0667073,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190075,Meghna,,23.62583999,90.69021175,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190081,Muradnagar,,23.67809628,90.94281174,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
